District,Latitude,Longitude,SubRetailer Draw ID
Göyçə Şərab evi Artyom,40.4488222,50.3409288,11604.1076
Şəfiqə Qaragözova Hüseyn,40.4696528,50.3247062,11604.7902
Vasif Market Dübəndi,40.4133502,50.2901442,11604.1223
M-N Market Qala Xaşaxuna,40.4373708,50.2148325,11604.1573
Ramil Market Qala Xaşaxuna,40.4348888,50.2143658,11604.1226
3 Mərtəbə Market Şüvəlan,40.4851303,50.1755664,11604.0177
Avtodroom PS Kafe Mərdəkan,40.4848169,50.1655474,11604.3586
Ziyad Əhmədov Nuru,40.4870142,50.1649333,11604.8428
Ziyəddin Rüstəmov Yavər,40.4874034,50.1648716,11604.8092
Orxan Novruzov Elşad,40.4870421,50.1646917,11604.8623
Pivəçi Suad Mərdəkan,40.4872975,50.1374759,11604.0971
Evim Market Şağan,40.4898829,50.1267988,11604.1012
Naxır Bulağı Market Buzovna,40.5204246,50.1083915,11604.0008
Ümid Market Binə,40.4249465,50.1060826,11604.144
Müqabil Musayev Fəxrəddin,40.4241374,50.1034011,11604.8077
Rasim İbadov Hasil,40.4465548,50.1033837,11604.7855
Caspian Market Buzovna,40.5290983,50.1032567,11604.0019
Murad Market Buzovna,40.5174233,50.1028575,11604.0161
Fortuna Trade MMC,40.5168655,50.1020904,27040
Sübhan Market Buzovna,40.523655,50.1013067,11604.016
Fanta Market Buzovna,40.5231943,50.1009307,11604.0301
Bal Market Binə,40.4163365,50.1009263,11604.5279
Nar Market Binə,40.426015,50.0988867,11604.1233
İsa Market Binə Sovxoz,40.4127784,50.0934285,11604.2649
Yasif Hacıyev Abbas,40.4497437,50.0882012,11604.8166
Rauf Əliyev Böyükağa,40.4500107,50.0881705,11604.7859
Fortuna Trade MMC,40.4500107,50.0881705,27042
Ramiz Bağırov Şakir,40.449097,50.0879444,11604.7853
Market 85 Binə Sovxoz,40.4346677,50.0869567,11604.1217
Əli Market Binə,40.447348,50.0782935,11604.0075
Şərab evi Binə Atçılıq Sahib,40.4771683,50.0755133,11604.0116
Valeh Əbilov Əbil,40.3605421,50.0750267,11604.8274
Nigar Market Buzovna,40.5179406,50.0729212,11604.0001
Mini market Vüsal Hövsan,40.3635958,50.0711607,11604.1586
SPAR Market Binə Atçılıq,40.4698754,50.0708407,11604.104
1001 Xırdavat Hövsan MİDA,40.3804723,50.0701578,11604.1715
Ağa Market Albalılıq,40.5263815,50.0691656,11604.0927
Dəniz Market Binə,40.4438783,50.06851,11604.1054
By Amir Telecom Elvin Hövsan,40.3579074,50.0584806,11604.4532
Nihad Market Albalılıq,40.5262155,50.0532671,11604.0273
3 meyvə Market Vişnyovka,40.5268682,50.0527192,11604.2965
Məhəllə Market Vişnyovka,40.5272653,50.0429072,11604.0139
Uğur Market 2 Albalılıq,40.5291973,50.0409817,11604.2198
Uğur Market 1 Albalılıq,40.532388,50.0399496,11604.2197
Çinar Market Bilgəh,40.5717295,50.0390302,11604.2303
Orxan Abdullayev İlqar,40.4354532,50.031295,11604.7824
Bərəkət Market Bilgəh,40.5504632,50.0299381,11604.0557
Lider Market Maştağa,40.5235514,50.02511,11604.0162
Rəsul Market Maştağa,40.5469434,50.0172944,11604.0382
İlkin Market Maştağa,40.5444967,50.0150033,11604.1039
Muxtar Telecom Yeni Ramana,40.4465502,50.0088965,11604.245
Niyazi Market Suraxanı,40.4221416,50.004739,11604.2711
Teymurbəy Ağayev Davud,40.4206799,50.0033645,11604.8369
Sizin Market Yeni Ramana,40.4443599,49.98966,11604.126
Kiosk Sabir Əmircan,40.4303873,49.9880966,11604.2423
Spar Market Elvin Əmircan,40.421979,49.9876087,11604.464
Ailə Market Ramana,40.4811837,49.9812735,11604.0317
Ruslan Məmmədov Akif,40.3794383,49.9807218,11604.7878
Namiq Şərifov Həsənağa,40.3862207,49.9797172,11604.7807
Pərakəndə Araz Supermarket Savalan,40.506811,49.9754394,11604.8678
Elxan Rüstəmov Rüstəm,40.4014032,49.9750888,11604.8634
Elxan Rüstəmov İsa,40.4014032,49.9750888,11604.8035
CD824-1320 Telecom Xəzər - Şazər Azərco Yeni Ramana,40.442204,49.974578,11604.2291
Pərakəndə Araz Supermarket Qaraçuxur,40.3850468,49.9717992,11604.8676
Şəhriyar Market Savalan,40.5154423,49.9697104,11604.0141
Pərakəndə Araz Supermarket Bakıxanov,40.4162396,49.9681571,11604.8672
Renat İsmayılov Hamlet,40.413908,49.9671478,11604.7863
Kiosk Malik Razin,40.4195126,49.9671244,11604.0083
Şöhrət Market K Günəşli,40.3738303,49.9648063,11604.149
Səbuhi Musayev Fəxrəddin,40.3857246,49.9634154,11604.8108
İltifaq Həşimov Nuramməd,40.3591002,49.9614312,11604.8121
Kiosk Ruslan Razin,40.4219582,49.9612602,11604.0463
Cəmil Mayılzadə Rivzan,40.4178934,49.9607581,11604.8414
Yaşar Kərimov Cəllad,40.4377811,49.95934,11604.795
Köşk Həsən Əhmədli,40.3885995,49.9579843,11604.0322
Elçin Yusifov Yusif,40.4278503,49.9577995,11604.768
Samir Abdullayev Zakir,40.3863003,49.9566363,11604.7896
Kənan Məmmədov Allahverdi,40.3948283,49.9564878,11604.7734
Samir Market Zabrat,40.4851103,49.9564464,11604.0234
Vüqar Şərab evi Xalqlar D,40.4039783,49.956425,11604.0424
Elçin Şərab evi Razin,40.4310675,49.9561781,11604.002
Ələkbər Şirinov Məhəmməd,40.4311133,49.9561295,11604.7682
Valeh Cəfərov Süleyman,40.4307983,49.9561267,11604.7932
Ramin Rüstəmov Zakir,40.3863485,49.9555618,11604.7852
Teymur Qafarov Əkrəm,40.3858986,49.9543304,11604.8655
Seymur Market Sabunçu,40.440633,49.954185,11604.0467
Pərakəndə Metrostansiya Əhmədli,40.3862485,49.9541785,11604.8687
Şəmsi Qurbanlı Nemət,40.4798319,49.9538922,11604.8169
Aydın İsmayılov Hüsən,40.3722972,49.9538647,11604.833
Pərakəndə Metrostansiya Həzi Aslanov,40.3722658,49.9536387,11604.869
Vüsal Şükürov Səftər,40.3742008,49.9534075,11604.7941
Soltan Soltanov Qaffar,40.3971114,49.9531852,11604.8511
Pərakəndə Metrostansiya Xalqlar - 2,40.3969205,49.9531483,11604.8701
Sevda Məmmədova Tofiq,40.3965612,49.9529739,11604.851
Rövşən Nəbiyev Hacıəhməd,40.4003756,49.952623,11604.7872
Bakı Market Neftçilər,40.4117107,49.952165,11604.0535
Pərakəndə Metrostansiya Xalqlar,40.3982959,49.9517686,11604.87
İqbal Hüseynov Əli,40.4062342,49.9496995,11604.7727
Rövşən Market Zabrat,40.4714936,49.9473361,11604.1016
Qəhraman İbrahimov Şəmil,40.4048558,49.9470899,11604.7835
Rəhman Poladov Camal,40.4054104,49.9470865,11604.8633
Ceyhun Məmmədov İslam,40.4059921,49.9466584,11604.7664
İntiqam Nuriyev Nəbi,40.4465273,49.9457138,11604.8376
Pərakəndə Bravo Əhmədli,40.3752391,49.9450303,11604.8682
Emil Mustafayev İqbal,40.4461254,49.9449261,11604.8562
Məhəllə Market Qarayev,40.418115,49.9441053,11604.0581
İsmayıl Kərimov Firdovsi,40.410016,49.9438891,11604.7965
Əbdülağa Məmmədov Saleh,40.4092013,49.9436936,11604.8509
Seyfəddin Əliyev Miriş,40.4778454,49.9434903,11604.8107
Pərakəndə Araz Supermarket Sabunçu,40.4449985,49.9434053,11604.8677
Rafiq Aslanov Qədir,40.4107252,49.9433527,11604.784
İlkin Sultanov Fazil,40.4100631,49.9427704,11604.8133
Aleksandr Yemelyanov Andreyeviç,40.4102474,49.942583,11604.8365
Ceyhun İxtiyarov Bəxtiyar,40.4101517,49.9425188,11604.813
Pərakəndə Metrostansiya Neftçilər - 2,40.4115944,49.942335,11604.8696
Pərakəndə Metrostansiya Neftçilər,40.4115944,49.942335,11604.8695
Pərakəndə Araz Supermarket Məhəmmədi,40.5116992,49.9416478,11604.8674
Elgün Şərab evi Qarayev,40.4173267,49.93759,11604.4904
Amid İmanov Bəhram,40.4394642,49.9360571,11604.7626
Habil Mehdiyev Səməndər,40.4175667,49.9357642,11604.8364
Zirvə Market 1 Neftçilər,40.4121868,49.9355566,11604.0877
Arif Süleymanov Səfər,40.4463765,49.9341193,11604.7634
Fəxriyar Babayev İlqar,40.4430175,49.933996,11604.7701
Pərakəndə Metrostansiya Qara Qarayev,40.4178442,49.9330068,11604.8699
Hafiz Əmirahov Sayuz,40.4181839,49.932802,11604.8132
Yusif Hüseynzadə Baloğlan,40.4182122,49.9323899,11604.8097
Zamiq Market Kürdəxanı,40.5515991,49.9259385,11604.1674
İntizam Aşurov Himmət,40.4600879,49.9254984,11604.807
Gülü Market Balaxanı,40.4610388,49.9212563,11604.0973
Rüstəm Market NZS,40.3850112,49.9202085,11604.0511
Günəş Market NZS,40.3757922,49.9199192,11604.0123
Mübariz Hüseynov Rəcəb,40.4211333,49.9186331,11604.7795
Pərakəndə Metrostansiya Koroğlu-Piramida,40.4205289,49.9174452,11604.8694
Pərakəndə Metrostansiya Koroğlu,40.4205289,49.9174452,11604.8693
Pərakəndə Şöbə Alov Park - 2,40.4217722,49.9165788,11604.8703
Pərakəndə Şöbə Alov Parkı,40.4218548,49.9162272,11604.867
Asim Quliyev Xaliq,40.3842078,49.9149793,11604.8525
Əhməd Məmmədov İlham,40.3908874,49.9146779,11604.8379
Mamed Market Böyükşor,40.4225545,49.906967,11604.0099
Mayis Qədirov Səlim,40.4218402,49.9002912,11604.8119
Qal Market Ulduz,40.4222783,49.9000958,11604.0332
İntiqam Market Nərimanov,40.418975,49.8979167,11604.1079
Habil Market Qara şəhər,40.3800918,49.8974824,11604.2579
Raqif Kərimli Vaqif,40.3960948,49.8953799,11604.0297
Şəhriyar Market Keşlə,40.3968306,49.8921002,11604.1452
Samir Əsədov Nəsrulla,40.3973889,49.8917665,11604.7899
2 Mərtəbə Market Keşlə,40.3956236,49.8880282,11604.125
Məhəllə Market Keşlə,40.4014349,49.8873901,11604.1111
Namiq Oğlu Market Pirşağı,40.5567678,49.8852211,11604.1649
Elnur Market Pirşağı,40.5590218,49.8837968,11604.1672
444 Market Montin,40.396385,49.877425,11604.1528
Bulud Market Baksol,40.4243891,49.8758518,11604.233
Məhəllə Market Nərimanov Çermet,40.4156012,49.8748752,11604.1597
Amil Market Nərimanov,40.4069911,49.8729638,11604.1515
Rəvan İsrafilov Etibar,40.3831638,49.8723225,11604.7868
Rahil Rəhimov Surxay,40.4029409,49.8718291,11604.7991
Səxavət İbrahimov Məmməd,40.4028055,49.8713821,11604.791
Pərakəndə Metrostansiya Nərimanov - 2,40.4032098,49.8713624,11604.8698
Əjdər Yarəhmədov Əhməd,40.4034264,49.8709283,11604.7673
Ehtibar Rzayev Rza,40.40583,49.8698767,11604.7672
Pərakəndə Metrostansiya Nərimanov,40.4023756,49.8695144,11604.8697
FF Market Çermet,40.4207798,49.8685565,11604.19
Köşk Eldar Nərimanov,40.4024199,49.8674735,11604.2322
Lucky oil Supermarket Digah,40.4849316,49.8660112,11604.0765
Kiosk 030 Nəsimi,40.3746985,49.8589493,11604.7745
